;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;cluster
Alec Benjamin Feat. Alessia Cara - Let Me Down Slowly;89;150;201;148;371;321;322;319;370;624;937;1230;2021;2860;2916;3678;4025;4718;4786;5124;5246;5710;5824;3
Andreas Bourani - Auf uns;68;295;485;584;829;1283;1197;1379;1871;2761;3126;3428;3481;3714;3388;4433;4292;4489;5025;3747;4291;4249;4190;3
Ariana Grande - 7 rings;2107;2470;3145;3258;3393;3328;3038;3078;2877;2396;2223;2164;2013;1875;1681;1337;1104;1252;1303;1412;1352;1201;1095;3
David Guetta ft. Bebe Rexha J Balvin - Say My Name;140;80;88;68;473;842;810;799;1024;1443;1911;2561;2523;2887;3318;3755;3947;3901;4009;3630;3268;3367;3380;3
Dj Snake feat. Selena Gomez, Ozuna, Cardi B - Taki Taki;359;870;1332;1657;2242;2431;2560;2899;2617;2588;2318;2411;2267;2329;2185;1933;1948;1957;1777;1666;1397;1320;1327;3
Dominic Fike - 3 Nights;93;94;34;181;441;523;422;660;942;1168;1358;1408;1564;1812;1825;2010;2566;2863;2251;2695;3018;2983;2626;3
Lea - Zu dir;417;668;856;1148;1189;1296;1573;1749;1842;2053;2152;2373;2674;2640;2501;2212;1853;1851;1820;1502;1453;1482;1377;3
Lewis Capaldi - Someone You Loved;25;56;1;5;28;31;4;5;7;10;257;688;574;674;884;1103;1288;2124;2864;3657;4233;4779;5333;3
Marshmello feat. Chvrches - Here With Me;694;960;1138;1641;2050;2097;1980;2270;2641;2683;2393;2348;2426;2252;2073;1498;1283;1242;1000;880;882;726;712;3
Max Giesinger - 80 Millionen;33;101;226;239;210;293;443;532;528;693;778;1228;2055;2279;2706;3157;3110;3288;3362;3412;4349;5205;6155;3
Meduza feat. Goodboys - Piece Of Your Heart;9;68;61;107;323;366;602;545;601;820;992;1148;1338;1533;1693;1971;2369;2774;3313;3841;4179;4215;4805;3
Namika - Lieblingsmensch;35;125;286;180;425;710;983;1211;2223;2933;3184;3669;3768;3486;3642;3767;4401;4360;4459;4269;4123;4099;3742;3
Nf - Let You Down;40;73;240;548;1030;1474;1966;2151;2192;2139;2238;2346;2370;2438;2529;2484;2316;1899;1655;1640;1691;1485;1436;3
Philipp Dittberner - Das ist dein Leben;137;456;561;734;1254;1618;1584;2056;2011;1925;1849;1843;2040;1961;2447;2483;2523;2772;2375;2603;2790;2667;2545;3
Sarah Connor - Ich wÃ_nsch dir;61;216;13;14;11;7;5;12;9;9;6;242;740;970;1452;1649;1703;1776;1965;2091;2256;2163;2134;3
Sarah Connor - Vincent;571;1312;1241;1234;1234;1115;1389;1566;1804;2318;2175;2199;2402;2563;2796;2863;2699;2698;1747;1651;1693;1375;1333;3
Sarah Connor - Wie schÃ¶n du bist;247;345;872;822;1243;1018;909;1034;1236;1343;1410;1710;2004;2196;2486;2599;2443;2371;2328;1980;1871;1802;1763;3
TiÃ«sto, Dzeko feat. Preme, Post Malone - Jackie Chan;131;289;482;651;802;774;928;1368;1763;2238;2591;2746;3018;3397;4152;3992;3742;3374;3375;2635;2601;2486;2216;3
27978732;403;628;902;1072;1355;1223;1531;1815;1752;1984;1960;2054;1802;1581;1686;1433;1334;1269;1118;1163;1120;870;0;3
27559288;416;940;1172;1307;1314;1162;1182;1415;1485;1350;1477;1488;1502;1516;1387;1303;1292;1194;1198;1252;1106;1093;1134;3
27945638;396;945;1383;1371;2098;2024;2362;2349;2023;2233;2400;2400;2426;2670;2714;2881;2449;2567;2328;2150;2056;1919;2067;3
27900559;602;1369;1486;1493;1655;2075;2163;2048;2507;2439;2463;2317;2406;2407;2157;2218;1930;1397;1351;1307;1219;1054;1051;3
27263996;1219;1262;1147;1256;1201;1174;1233;1250;1228;1122;1174;1203;1154;1263;1117;1362;1208;1133;1215;1190;1184;1131;1134;3
27934180;410;853;1376;1545;1925;1838;1869;1763;1659;1586;1501;1250;1053;1151;855;793;708;641;813;614;538;551;450;3
27933366;94;94;34;181;444;519;428;718;883;1164;1363;1341;1540;1800;1793;2011;2539;2797;2232;2599;3000;2894;2552;3
27545862;894;1183;1443;1740;1993;2293;2392;2100;1865;1678;1571;1439;1226;1101;999;889;817;695;620;588;518;432;336;3
27925923;374;748;948;986;1182;1353;1450;2016;2102;1994;2365;2343;2719;2529;2150;1486;1230;1076;996;710;709;658;550;3
27545794;685;1779;2162;2778;2825;3126;3039;3034;3041;2224;2249;2208;2762;2884;2678;2758;1784;1593;2328;2241;2318;2075;1036;3
27934888;422;1060;1418;1466;1617;1842;1999;2070;2533;2766;2867;3052;3131;2994;2731;2717;2419;2475;2496;1846;1632;1308;1254;3