;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;cluster
Alec Benjamin Feat. Alessia Cara - Let Me Down Slowly;89;150;201;148;371;321;322;319;370;624;937;1230;2021;2860;2916;3678;4025;4718;4786;5124;5246;5710;5824;5838;5731;3935;3
David Guetta ft. Bebe Rexha J Balvin - Say My Name;140;80;88;68;473;842;810;799;1024;1443;1911;2561;2523;2887;3318;3755;3947;3901;4009;3630;3268;3367;3380;3259;3007;2091;3
Dj Snake feat. Selena Gomez, Ozuna, Cardi B - Taki Taki;359;870;1332;1657;2242;2431;2560;2899;2617;2588;2318;2411;2267;2329;2185;1933;1948;1957;1777;1666;1397;1320;1327;1345;1166;760;3
Dominic Fike - 3 Nights;93;94;34;181;441;523;422;660;942;1168;1358;1408;1564;1812;1825;2010;2566;2863;2251;2695;3018;2983;2626;2997;3144;1977;3
Johannes Oerding - An guten Tagen;687;1091;1392;1331;1644;1949;2536;2908;2978;3346;3653;3715;3721;4154;3864;3909;3864;3934;4110;4142;4057;4185;4104;4027;3948;3055;3
Lea - Zu dir;417;668;856;1148;1189;1296;1573;1749;1842;2053;2152;2373;2674;2640;2501;2212;1853;1851;1820;1502;1453;1482;1377;1315;1283;795;3
Lewis Capaldi - Someone You Loved;25;56;1;5;28;31;4;5;7;10;257;688;574;674;884;1103;1288;2124;2864;3657;4233;4779;5333;5208;6001;4398;3
Marshmello feat. Chvrches - Here With Me;694;960;1138;1641;2050;2097;1980;2270;2641;2683;2393;2348;2426;2252;2073;1498;1283;1242;1000;880;882;726;712;621;579;424;3
Max Giesinger - 80 Millionen;33;101;226;239;210;293;443;532;528;693;778;1228;2055;2279;2706;3157;3110;3288;3362;3412;4349;5205;6155;6455;7079;4641;3
Namika - Lieblingsmensch;35;125;286;180;425;710;983;1211;2223;2933;3184;3669;3768;3486;3642;3767;4401;4360;4459;4269;4123;4099;3742;3225;3548;2414;3
Nf - Let You Down;40;73;240;548;1030;1474;1966;2151;2192;2139;2238;2346;2370;2438;2529;2484;2316;1899;1655;1640;1691;1485;1436;1375;1098;724;3
Philipp Dittberner - Das ist dein Leben;137;456;561;734;1254;1618;1584;2056;2011;1925;1849;1843;2040;1961;2447;2483;2523;2772;2375;2603;2790;2667;2545;2538;2415;1578;3
Sarah Connor - Vincent;571;1312;1241;1234;1234;1115;1389;1566;1804;2318;2175;2199;2402;2563;2796;2863;2699;2698;1747;1651;1693;1375;1333;1453;1289;860;3
Sarah Connor - Wie schÃ¶n du bist;247;345;872;822;1243;1018;909;1034;1236;1343;1410;1710;2004;2196;2486;2599;2443;2371;2328;1980;1871;1802;1763;1650;1676;1154;3
TiÃ«sto, Dzeko feat. Preme, Post Malone - Jackie Chan;131;289;482;651;802;774;928;1368;1763;2238;2591;2746;3018;3397;4152;3992;3742;3374;3375;2635;2601;2486;2216;2003;1816;1217;3
Meduza feat. Goodboys - Piece Of Your Heart;9;68;61;107;323;366;602;545;601;820;992;1148;1338;1533;1693;1971;2369;2774;3313;3841;4179;4215;4805;4904;4796;2640;3